city,strain_year,year,subtype,reference_strain,epi_alarm,start,epi_counts,incidence_per_mil,epi_fractional_counts,new_ag_marker,first_detection_of_new_ag,first_n_biggest,relative_to_first_n_biggest,delay,prior_everything_scaled,mean_epi_size,type,earliest_A,largest_A,poor_timeseries,earliest_geog_start,firstNbiggest_earliest_geog,largest_geog_start,firstNbiggest_largest_geog,poor_timeseries_geog_start,firstNbiggest_poor_geog
BRISBANE,2009_A/California/7/2009-like,2009,H1pdm09,A/California/7/2009-like,Y,11,30,14.50341048,0.909090909,NA,1,Y,1,0,0,51.11186916,A,Y,Y,Y,13,Y,13,Y,13,Y
BRISBANE,2009_A/Perth/16/2009-like,2009,H3,A/Perth/16/2009-like,Y,14,3,1.450341048,0.090909091,1,1,N,0.1,3,0.208089325,51.11186916,A,N,N,N,14,N,14,N,14,N
BRISBANE,2009_A/Wisconsin/67/2005-like,2009,H3,A/Wisconsin/67/2005-like,N,NA,NA,NA,NA,0,0,N,NA,NA,NA,51.11186916,A,N,N,N,NA,N,NA,N,NA,N
BRISBANE,2009_B/Brisbane/60/2008-like,2009,B/Vic,B/Brisbane/60/2008-like,N,NA,NA,NA,NA,0,0,N,NA,NA,NA,51.11186916,B,N,N,N,NA,N,NA,N,NA,N
BRISBANE,2009_A/New Caledonia/20/99-like,2009,H1sea,A/New Caledonia/20/99-like,N,NA,NA,NA,NA,0,0,N,NA,NA,NA,51.11186916,A,N,N,N,NA,N,NA,N,NA,N
BRISBANE,2009_A/Brisbane/59/2007-like,2009,H1sea,A/Brisbane/59/2007-like,N,NA,NA,NA,NA,0,0,N,NA,NA,NA,51.11186916,A,N,N,N,NA,N,NA,N,NA,N
BRISBANE,2010_A/California/7/2009-like,2010,H1pdm09,A/California/7/2009-like,Y,13,230,109.0901502,0.845588235,0,0,Y,1,0,0,51.11186916,A,Y,Y,N,12,Y,12,Y,13,Y
BRISBANE,2010_A/Perth/16/2009-like,2010,H3,A/Perth/16/2009-like,Y,16,42,19.92081004,0.154411765,0,0,N,0.182608696,3,0.334070742,51.11186916,A,N,N,N,16,N,16,N,16,N
BRISBANE,2010_B/Brisbane/60/2008-like,2010,B/Vic,B/Brisbane/60/2008-like,N,17,NA,NA,NA,0,0,N,NA,4,NA,51.11186916,B,N,N,N,17,N,17,N,17,N
BRISBANE,2011_A/California/7/2009-like,2011,H1pdm09,A/California/7/2009-like,Y,11,112,52.15522139,0.516129032,0,0,Y,1,0,0,51.11186916,A,Y,Y,N,12,N,12,N,11,Y
BRISBANE,2011_B/Brisbane/60/2008-like,2011,B/Vic,B/Brisbane/60/2008-like,Y,11,105,48.89552005,0.483870968,0,0,N,0.9375,0,0,51.11186916,B,N,N,N,11,Y,11,Y,11,N
BRISBANE,2011_A/Perth/16/2009-like,2011,H3,A/Perth/16/2009-like,N,13,NA,NA,NA,0,0,N,NA,2,NA,51.11186916,A,N,N,N,13,N,13,N,13,N
BRISBANE,2011_B/Florida/4/2006-like,2011,B/Yam,B/Florida/4/2006-like,N,NA,NA,NA,NA,0,0,N,NA,NA,NA,51.11186916,B,N,N,N,NA,N,NA,N,NA,N
BRISBANE,2012_A/Victoria/361/2011-like,2012,H3,A/Victoria/361/2011-like,Y,11,151,68.76097728,0.699074074,1,1,Y,1,0,0,51.11186916,A,Y,Y,Y,13,Y,13,Y,13,Y
BRISBANE,2012_B/Brisbane/60/2008-like,2012,B/Vic,B/Brisbane/60/2008-like,Y,18,65,29.59909618,0.300925926,0,0,N,0.430463576,7,1.078024672,51.11186916,B,N,N,N,18,N,18,N,18,N
BRISBANE,2012_A/Perth/16/2009-like,2012,H3,A/Perth/16/2009-like,N,NA,NA,NA,NA,0,0,N,NA,NA,NA,51.11186916,A,N,N,N,NA,N,NA,N,NA,N
BRISBANE,2012_A/California/7/2009-like,2012,H1pdm09,A/California/7/2009-like,N,NA,NA,NA,NA,0,0,N,NA,NA,NA,51.11186916,A,N,N,N,NA,N,NA,N,NA,N
BRISBANE,2012_B/Wisconsin/1/2010-like,2012,B/Yam,B/Wisconsin/1/2010-like,N,NA,NA,NA,NA,0,0,N,NA,NA,NA,51.11186916,B,N,N,N,NA,N,NA,N,NA,N
BRISBANE,2013_B/Massachusetts/2/2012-like,2013,B/Yam,B/Massachusetts/2/2012-like,Y,14,111,49.52971314,0.513888889,1,1,Y,1,0,0,51.11186916,B,N,N,N,14,N,14,N,14,Y
BRISBANE,2013_A/California/7/2009-like,2013,H1pdm09,A/California/7/2009-like,Y,14,105,46.85243135,0.486111111,0,0,N,0.945945946,0,0,51.11186916,A,Y,Y,N,11,Y,11,Y,14,N
BRISBANE,2013_B/Brisbane/60/2008-like,2013,B/Vic,B/Brisbane/60/2008-like,N,NA,NA,NA,NA,0,0,N,NA,NA,NA,51.11186916,B,N,N,N,NA,N,NA,N,NA,N
BRISBANE,2013_A/Victoria/361/2011-like,2013,H3,A/Victoria/361/2011-like,N,15,NA,NA,NA,0,0,N,NA,1,NA,51.11186916,A,N,N,N,15,N,15,N,15,N
